fullText,filter1_label
Vaig gaudir molt de l’humor i la música al Cruïlla!,1
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
Tot molt ben organitzat al Cruïlla. M’encanta aquest festival!,1
Vaig gaudir molt de l’humor i la música al Cruïlla!,1
"Cruïlla no solo es un festival, también es una editorial.",0
La editorial Cruïlla tiene muy buenos cuentos infantiles.,0
Estic llegint un llibre molt interessant de l'editorial Cruïlla.,0
Tot molt ben organitzat al Cruïlla. M’encanta aquest festival!,1
La vida és una cruïlla constant de decisions.,0
He descobert nous artistes genials al Cruïlla. Bravo per l’organització!,1
El Cruïlla sempre em sorprèn. Diversitat i bona energia!,1
Fui al Cruïlla por primera vez y quedé encantado.,1
Fui al Cruïlla por primera vez y quedé encantado.,1
Me encontré con una escultura llamada 'Cruïlla'.,0
Hi ha una cruïlla perillosa prop de casa meva on caldria un semàfor.,0
Este texto explora la idea de una cruïlla cultural en Europa.,0
Fui al Cruïlla por primera vez y quedé encantado.,1
Todo muy bien organizado en Cruïlla este año.,1
Todo muy bien organizado en Cruïlla este año.,1
Els espectacles de comèdia al Cruïlla van ser una passada!,1
"Cruïlla també pot significar una trobada de camins, no només un festival.",0
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
Vaig gaudir molt de l’humor i la música al Cruïlla!,1
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
El Cruïlla sempre em sorprèn. Diversitat i bona energia!,1
El Cruïlla de este año fue espectacular. ¡Qué ambiente tan bueno!,1
Cruïlla significa cruce o intersección en catalán.,0
La palabra 'cruïlla' representa una intersección en catalán.,0
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
Aquest Cruïlla ha estat dels millors que he viscut.,1
La palabra 'cruïlla' representa una intersección en catalán.,0
Els espectacles de comèdia al Cruïlla van ser una passada!,1
En aquest capítol parlen d’una cruïlla metafòrica a la vida del personatge.,0
"Descubrí artistas nuevos en Cruïlla, muy buena curaduría.",1
La programació d’aquest any al Cruïlla va ser molt variada.,1
La programació d’aquest any al Cruïlla va ser molt variada.,1
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
"Cruïlla nunca decepciona. Diverso, divertido y único.",1
Editorial Cruïlla publica llibres fantàstics per a nens i joves.,0
Cruïlla significa cruce o intersección en catalán.,0
Estic llegint un llibre molt interessant de l'editorial Cruïlla.,0
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
"El Cruïlla és sinònim de festa, cultura i diversió!",1
"Estoy leyendo un libro de la editorial Cruïlla, es muy educativo.",0
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
Els espectacles de comèdia al Cruïlla van ser una passada!,1
Aquest concepte representa una cruïlla de cultures i ideologies.,0
Els espectacles de comèdia al Cruïlla van ser una passada!,1
Aquest concepte representa una cruïlla de cultures i ideologies.,0
"Cruïlla també pot significar una trobada de camins, no només un festival.",0
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
Els espectacles de comèdia al Cruïlla van ser una passada!,1
El Cruïlla de este año fue espectacular. ¡Qué ambiente tan bueno!,1
Cruïlla significa cruce o intersección en catalán.,0
Els espectacles de comèdia al Cruïlla van ser una passada!,1
Hay una cruïlla peligrosa cerca del colegio.,0
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
Hay una cruïlla peligrosa cerca del colegio.,0
Vaig gaudir molt de l’humor i la música al Cruïlla!,1
En aquest capítol parlen d’una cruïlla metafòrica a la vida del personatge.,0
Me encantaron los shows de comedia en Cruïlla.,1
Editorial Cruïlla publica llibres fantàstics per a nens i joves.,0
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
La paraula 'cruïlla' simbolitza una intersecció de camins i decisions.,0
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
Fui al Cruïlla por primera vez y quedé encantado.,1
El Cruïlla d’aquest any ha estat increïble! Quin ambient més vibrant!,1
Els espectacles de comèdia al Cruïlla van ser una passada!,1
Me encantaron los shows de comedia en Cruïlla.,1
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
El Cruïlla d’aquest any ha estat increïble! Quin ambient més vibrant!,1
La vida és una cruïlla constant de decisions.,0
"Cruïlla nunca decepciona. Diverso, divertido y único.",1
Cruïlla es también una metáfora usada en literatura.,0
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
Hi ha una cruïlla perillosa prop de casa meva on caldria un semàfor.,0
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
Aquest concepte representa una cruïlla de cultures i ideologies.,0
El Cruïlla d’aquest any ha estat increïble! Quin ambient més vibrant!,1
Cruïlla es también una metáfora usada en literatura.,0
La programació d’aquest any al Cruïlla va ser molt variada.,1
"Estoy leyendo un libro de la editorial Cruïlla, es muy educativo.",0
Fui al Cruïlla por primera vez y quedé encantado.,1
"Cruïlla no solo es un festival, también es una editorial.",0
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
Cruïlla es sinónimo de verano y buena música en Barcelona.,1
"Estoy leyendo un libro de la editorial Cruïlla, es muy educativo.",0
Fui al Cruïlla por primera vez y quedé encantado.,1
Todo muy bien organizado en Cruïlla este año.,1
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
Fui al Cruïlla por primera vez y quedé encantado.,1
Editorial Cruïlla publica llibres fantàstics per a nens i joves.,0
He descobert nous artistes genials al Cruïlla. Bravo per l’organització!,1
Todo muy bien organizado en Cruïlla este año.,1
La programació d’aquest any al Cruïlla va ser molt variada.,1
El Cruïlla sempre em sorprèn. Diversitat i bona energia!,1
He descobert nous artistes genials al Cruïlla. Bravo per l’organització!,1
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
La paraula 'cruïlla' simbolitza una intersecció de camins i decisions.,0
Me encontré con una escultura llamada 'Cruïlla'.,0
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
La palabra 'cruïlla' representa una intersección en catalán.,0
Vaig gaudir molt de l’humor i la música al Cruïlla!,1
El Cruïlla de este año fue espectacular. ¡Qué ambiente tan bueno!,1
La paraula 'cruïlla' simbolitza una intersecció de camins i decisions.,0
Aquest Cruïlla ha estat dels millors que he viscut.,1
Aquest Cruïlla ha estat dels millors que he viscut.,1
"Cruïlla nunca decepciona. Diverso, divertido y único.",1
Todo muy bien organizado en Cruïlla este año.,1
Aquest Cruïlla ha estat dels millors que he viscut.,1
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
El Cruïlla d’aquest any ha estat increïble! Quin ambient més vibrant!,1
"Cruïlla també pot significar una trobada de camins, no només un festival.",0
"Cruïlla nunca decepciona. Diverso, divertido y único.",1
La paraula 'cruïlla' simbolitza una intersecció de camins i decisions.,0
Fui al Cruïlla por primera vez y quedé encantado.,1
Todo muy bien organizado en Cruïlla este año.,1
"Estoy leyendo un libro de la editorial Cruïlla, es muy educativo.",0
La paraula 'cruïlla' simbolitza una intersecció de camins i decisions.,0
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
"Cruïlla nunca decepciona. Diverso, divertido y único.",1
Fui al Cruïlla por primera vez y quedé encantado.,1
Cruïlla es también una metáfora usada en literatura.,0
Todo muy bien organizado en Cruïlla este año.,1
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
La paraula 'cruïlla' simbolitza una intersecció de camins i decisions.,0
Aquest Cruïlla ha estat dels millors que he viscut.,1
Hay una cruïlla peligrosa cerca del colegio.,0
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
"Estoy leyendo un libro de la editorial Cruïlla, es muy educativo.",0
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
Editorial Cruïlla publica llibres fantàstics per a nens i joves.,0
Fui al Cruïlla por primera vez y quedé encantado.,1
La palabra 'cruïlla' representa una intersección en catalán.,0
Hi ha una cruïlla perillosa prop de casa meva on caldria un semàfor.,0
"Cruïlla no solo es un festival, también es una editorial.",0
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
La programació d’aquest any al Cruïlla va ser molt variada.,1
La editorial Cruïlla tiene muy buenos cuentos infantiles.,0
"Estoy leyendo un libro de la editorial Cruïlla, es muy educativo.",0
Tot molt ben organitzat al Cruïlla. M’encanta aquest festival!,1
Cruïlla es también una metáfora usada en literatura.,0
"Descubrí artistas nuevos en Cruïlla, muy buena curaduría.",1
Cruïlla es también una metáfora usada en literatura.,0
Me encontré con una escultura llamada 'Cruïlla'.,0
"Descubrí artistas nuevos en Cruïlla, muy buena curaduría.",1
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
Este texto explora la idea de una cruïlla cultural en Europa.,0
Me encontré con una escultura llamada 'Cruïlla'.,0
Vaig veure una escultura anomenada 'La Cruïlla' al museu.,0
Me encontré con una escultura llamada 'Cruïlla'.,0
Els espectacles de comèdia al Cruïlla van ser una passada!,1
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
La editorial Cruïlla tiene muy buenos cuentos infantiles.,0
Me encontré con una escultura llamada 'Cruïlla'.,0
El Cruïlla d’aquest any ha estat increïble! Quin ambient més vibrant!,1
"Descubrí artistas nuevos en Cruïlla, muy buena curaduría.",1
Este texto explora la idea de una cruïlla cultural en Europa.,0
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
La programación de Cruïlla fue muy completa y variada.,1
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
"Cruïlla nunca decepciona. Diverso, divertido y único.",1
Cruïlla es también una metáfora usada en literatura.,0
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
Cruïlla es sinónimo de verano y buena música en Barcelona.,1
Cruïlla significa cruce o intersección en catalán.,0
Vaig veure una escultura anomenada 'La Cruïlla' al museu.,0
La vida és una cruïlla constant de decisions.,0
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
La editorial Cruïlla tiene muy buenos cuentos infantiles.,0
El Cruïlla d’aquest any ha estat increïble! Quin ambient més vibrant!,1
Fui al Cruïlla por primera vez y quedé encantado.,1
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
Aquest concepte representa una cruïlla de cultures i ideologies.,0
Els espectacles de comèdia al Cruïlla van ser una passada!,1
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
Cruïlla es sinónimo de verano y buena música en Barcelona.,1
La vida és una cruïlla constant de decisions.,0
Aquest concepte representa una cruïlla de cultures i ideologies.,0
Cruïlla es sinónimo de verano y buena música en Barcelona.,1
Els espectacles de comèdia al Cruïlla van ser una passada!,1
Aquest concepte representa una cruïlla de cultures i ideologies.,0
El Cruïlla sempre em sorprèn. Diversitat i bona energia!,1
Cruïlla es también una metáfora usada en literatura.,0
En aquest capítol parlen d’una cruïlla metafòrica a la vida del personatge.,0
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
"El Cruïlla és sinònim de festa, cultura i diversió!",1
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
Vi una exposición de arte titulada 'Cruïlla de emociones'.,0
"Cruïlla no solo es un festival, también es una editorial.",0
La programació d’aquest any al Cruïlla va ser molt variada.,1
La editorial Cruïlla tiene muy buenos cuentos infantiles.,0
Este texto explora la idea de una cruïlla cultural en Europa.,0
Este texto explora la idea de una cruïlla cultural en Europa.,0
"Cruïlla també pot significar una trobada de camins, no només un festival.",0
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
El menjar del Cruïlla estava deliciós. Vull tornar-hi l’any vinent!,1
El Cruïlla d’aquest any ha estat increïble! Quin ambient més vibrant!,1
La comida en Cruïlla estaba buenísima. ¡Repetiré seguro!,1
Cruïlla es también una metáfora usada en literatura.,0
Cruïlla es también una metáfora usada en literatura.,0
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
La cruïlla entre els carrers Major i Pau Claris és molt transitada.,0
Todo muy bien organizado en Cruïlla este año.,1
Ha sido uno de los mejores festivales Cruïlla a los que he ido.,1
La programación de Cruïlla fue muy completa y variada.,1
La programación de Cruïlla fue muy completa y variada.,1
Cruïlla es sinónimo de verano y buena música en Barcelona.,1
"Descubrí artistas nuevos en Cruïlla, muy buena curaduría.",1
Tot molt ben organitzat al Cruïlla. M’encanta aquest festival!,1
Me encontré con una escultura llamada 'Cruïlla'.,0
"Cruïlla també pot significar una trobada de camins, no només un festival.",0
Cruïlla es sinónimo de verano y buena música en Barcelona.,1
La vida és una cruïlla constant de decisions.,0
